game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Mark of the Ninja,PC,Klei Entertainment,Action,No Online Multiplayer,M,16-Oct-12,91,80
Guild Wars 2,PC,ArenaNet,General,Massively Multiplayer,T,28-Aug-12,90,81
The Walking Dead: A Telltale Games Series,PC,Telltale Games,Compilation,No Online Multiplayer,,24-Apr-12,89,87
The Walking Dead: Episode 5 - No Time Left,PC,Telltale Games,Miscellaneous,,M,21-Nov-12,89,88
Borderlands 2,PC,Gearbox Software,Action,Up to 4 ,M,17-Sep-12,89,82
XCOM: Enemy Unknown,PC,Firaxis Games,Strategy,No Online Multiplayer,M,8-Oct-12,89,82
Mass Effect 3,PC,BioWare,Role-Playing,Up to 4 ,M,6-Mar-12,89,58
Colors! 3D,3DS,Collecting Smiles,Miscellaneous,1月2日,E,5-Apr-12,89,78
Zero Escape: Virtue's Last Reward,3DS,ChunSoft,Adventure,No Online Multiplayer,M,23-Oct-12,88,88
Far Cry 3,PC,Ubisoft Montreal,Action,Up to 4 ,M,4-Dec-12,88,83
Rayman Origins,VITA,UBlart Montpellier,Action Adventure,,E10+,15-Feb-12,88,84
Torchlight II,PC,Runic Games,Role-Playing,Online Multiplayer,,20-Sep-12,88,85
Thirty Flights of Loving,PC,Blendo Games,Adventure,,,20-Aug-12,88,50
Diablo III,PC,Blizzard Entertainment,Role-Playing,Up to 4 ,M,15-May-12,88,41
LittleBigPlanet PS Vita,VITA,"Tarsier Studios, Double Eleven",Action,Up to 4 ,E,18-Sep-12,88,86
Max Payne 3,PC,"Rockstar Games, Rockstar Studios",Action,,M,31-May-12,87,77
Battlefield 3: Armored Kill,PC,EA DICE,Action,,M,11-Sep-12,87,71
Total War: Shogun 2 - Fall of the Samurai,PC,Creative Assembly,Strategy,,T,22-Mar-12,86,85
Football Manager 2013,PC,Sports Interactive,Sports,,,1-Nov-12,86,68
Black Mesa,PC,Black Mesa Modification Team,Action,Online Multiplayer,,14-Sep-12,86,89
FIFA Soccer 13,PC,Electronic Arts,Sports,,E,25-Sep-12,86,66
Tribes: Ascend,PC,Hi-Rez Studios,Action,,T,12-Apr-12,86,78
Rayman Origins,PC,UBlart Montpellier,Action,No Online Multiplayer,E10+,29-Mar-12,86,84
Crashmo,3DS,Intelligent Systems,Miscellaneous,,E,22-Nov-12,86,83
Tales From Space: Mutant Blobs Attack,VITA,DrinkBox Studios,Action,,E10+,21-Feb-12,86,83
