game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Mass Effect 3: Special Edition,WIIU,Straight Right,Action RPG,Up to 4 ,M,13-Nov-12,85,76
Assassin's Creed III,WIIU,Ubisoft Quebec,Action Adventure,Up to 8 ,M,18-Nov-12,85,72
Hotline Miami,PC,Dennaton,Action,,M,23-Oct-12,85,86
Out of the Park Baseball 13,PC,Out Of The Park Developments,Sports,,,9-Apr-12,85,78
Dark Souls: Prepare to Die Edition,PC,From Software,Role-Playing,Online Multiplayer,M,24-Aug-12,85,76
NBA 2K13,WIIU,Visual Concepts,Sports,1 Player,E,18-Nov-12,85,71
Sine Mora,VITA,"Digital Reality, Grasshopper Manufacture",Action,,M,20-Nov-12,85,72
The Walking Dead: Episode 3 - Long Road Ahead,PC,Telltale Games,Miscellaneous,,M,29-Aug-12,85,84
Darksiders II,WIIU,Vigil Games,Modern,1 Player,M,18-Nov-12,85,81
Mortal Kombat,VITA,NetherRealm Studios,Action,,M,1-May-12,85,78
Batman: Arkham City - Armored Edition,WIIU,"Rocksteady Studios, WB Games Montreal",Action Adventure,1 Player,T,18-Nov-12,85,84
The Walking Dead: Episode 2 - Starved for Help,PC,Telltale Games,Miscellaneous,,M,29-Jun-12,84,86
Pinball FX 2,PC,Zen Studios,Action,1月4日,E,27-Oct-12,84,77
PlanetSide 2,PC,Sony Online Entertainment,Role-Playing,,T,20-Nov-12,84,70
Sound Shapes,VITA,SCEA,Action,,E,7-Aug-12,84,78
Trine 2: Director's Cut,WIIU,"Frozenbyte, Inc.",Action,,E10+,18-Nov-12,84,80
FTL: Faster Than Light,PC,Subset Games,Simulation,,,14-Sep-12,84,84
New Super Mario Bros. U,WIIU,Nintendo,Action,No Online Multiplayer,E,18-Nov-12,84,80
Zero Escape: Virtue's Last Reward,VITA,ChunSoft,Adventure,No Online Multiplayer,M,23-Oct-12,84,88
Kid Icarus: Uprising,3DS,"Opus, Project Sora",Action Adventure,Up to 6 ,E10+,23-Mar-12,83,88
Tekken Tag Tournament 2: Wii U Edition,WIIU,Namco Bandai Games,Action,Up to 4 ,T,18-Nov-12,83,80
Lumines: Electronic Symphony,VITA,Q Entertainment,Miscellaneous,,E,15-Feb-12,83,79
Oddworld: Stranger's Wrath HD,VITA,Just Add Water,Action Adventure,,T,18-Dec-12,83,82
Orcs Must Die! 2,PC,Robot Entertainment,Action,,T,30-Jul-12,83,79
Alan Wake,PC,Remedy Entertainment,Action Adventure,,T,16-Feb-12,83,80
Gravity Rush,VITA,SCE Japan Studio,Action,,T,12-Jun-12,83,86
Superbrothers: Sword & Sworcery EP,PC,Capy Games,Adventure,No Online Multiplayer,,16-Apr-12,83,64
Counter-Strike: Global Offensive,PC,"Valve Software, Hidden Path Entertainment",Action,,M,21-Aug-12,83,75
BlazBlue: Continuum Shift Extend,VITA,Arc System Works,Action,Up to 6 ,T,14-Feb-12,83,75
Resident Evil: Revelations,3DS,Capcom,Action Adventure,2,M,7-Feb-12,82,84
Professor Layton and the Miracle Mask,3DS,Level 5,Puzzle,No Online Multiplayer,E10+,28-Oct-12,82,81
Super Stardust Delta,VITA,Housemarque,General,,E,14-Feb-12,82,80
Sins of a Solar Empire: Rebellion,PC,Ironclad Games,Strategy,Online Multiplayer,T,12-Jun-12,82,78
Art of Balance Touch!,3DS,Shin'en,Miscellaneous,,E,7-Jun-12,82,75
Legend of Grimrock,PC,Almost Human,Role-Playing,,,11-Apr-12,82,81
Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,Gearbox Software,Action,,M,20-Nov-12,82,74
Crusader Kings II,PC,Paradox Development Studio,Strategy,Online Multiplayer,T,14-Feb-12,82,88
World of Warcraft: Mists of Pandaria,PC,Blizzard Entertainment,Fantasy,Massively Multiplayer,T,25-Sep-12,82,50
The Walking Dead: Episode 1 - A New Day,PC,Telltale Games,Action,,M,24-Apr-12,82,84
Botanicula,PC,Amanita Design,Adventure,,,19-Apr-12,82,83
Art Academy: Lessons for Everyone,3DS,"Nintendo, Headstrong Games",Miscellaneous,,E,1-Oct-12,81,76
Darksiders II,PC,Vigil Games,Action Adventure,,M,13-Aug-12,81,79
Lone Survivor,PC,superflat games,Action Adventure,No Online Multiplayer,,23-Apr-12,81,73
Call of Duty: Black Ops II,WIIU,Treyarch,Action,,M,18-Nov-12,81,69
The Cat Lady,PC,Harvester Games,Adventure,,,7-Dec-12,81,87
Vessel,PC,Strange Loop Games,Action,,E,1-Mar-12,81,78
Kingdoms of Amalur: Reckoning,PC,Big Huge Games,Role-Playing,No Online Multiplayer,M,7-Feb-12,81,67
Metal Gear Solid HD Collection,VITA,Armature Studio,Miscellaneous,1 Player,M,12-Jun-12,81,85
Waveform,PC,Eden Industries,Puzzle,,,20-Mar-12,81,74
Sleeping Dogs,PC,United Front Games,Modern,No Online Multiplayer,M,13-Aug-12,81,83
Wargame: European Escalation,PC,Eugen Systems,Strategy,,,22-Feb-12,81,81
Sid Meier's Civilization V: Gods & Kings,PC,Firaxis Games,Strategy,,E10+,18-Jun-12,80,77
Mighty Switch Force! Hyper Drive Edition,WIIU,WayForward,Action,,E10+,18-Nov-12,80,77
Pro Evolution Soccer 2013,PC,Konami,Sports,,E,25-Sep-12,80,69
Uncharted: Golden Abyss,VITA,"Naughty Dog, Sony Bend",Action Adventure,,T,15-Feb-12,80,74
Assassin's Creed III,PC,Ubisoft,Action Adventure,,M,20-Nov-12,80,63
Mutant Mudds,3DS,Renegade Kid,Action,1 Player,E,26-Jan-12,80,68
La-Mulana (Remake),PC,Nigoro,Action,,,13-Jul-12,80,72
Natural Selection 2,PC,Unknown Worlds Entertainment,Action,Online Multiplayer,,30-Oct-12,80,85
Borderlands 2: Captain Scarlett and Her Pirate's Booty,PC,Gearbox Software,Action,,M,16-Oct-12,80,74
Skylanders Giants,WIIU,Vicarious Visions,Action,,E10+,18-Nov-12,80,62
The Walking Dead: Episode 4 - Around Every Corner,PC,Telltale Games,Miscellaneous,,M,10-Oct-12,80,85
Ultimate Marvel vs. Capcom 3,VITA,Capcom,Action,,T,15-Feb-12,80,78
F1 2012,PC,Codemasters,Driving,,E,17-Sep-12,80,71
Stealth Bastard Deluxe,PC,Curve Studios,Action,No Online Multiplayer,,28-Nov-12,80,78
Stacking,PC,Double Fine Productions,Miscellaneous,1 Player,E10+,6-Mar-12,80,77
FLY'N,PC,Ankama,Miscellaneous,,,9-Nov-12,80,77
Dustforce,PC,Hitbox ,Action,,,17-Jan-12,79,77
FIFA Soccer,VITA,Electronic Arts,Sports,,E,15-Feb-12,79,72
Street Fighter X Tekken,VITA,Capcom,Action,Up to 8 ,T,23-Oct-12,79,75
Need for Speed: Most Wanted - A Criterion Game,VITA,Criterion Games,Driving,Up to 4 ,E10+,30-Oct-12,79,76
Wipeout 2048,VITA,Studio Liverpool,Driving,,E10+,15-Feb-12,79,82
Hitman: Absolution,PC,"Io Interactive, Nixxes Software",Action Adventure,No Online Multiplayer,M,19-Nov-12,79,71
Retro City Rampage,VITA,Vblank Entertainment Inc.,Action Adventure,,T,9-Oct-12,79,78
ZEN Pinball 3D,3DS,Zen Studios,Action,1 Player,E10+,12-Jan-12,79,77
Little Inferno,WIIU,Tomorrow Corporation,Miscellaneous,,T,18-Nov-12,79,75
Street Fighter X Tekken,PC,"Capcom, QLOC",Action,,T,11-May-12,79,63
Chivalry: Medieval Warfare,PC,Torn Banner Studios,Action,,,16-Oct-12,79,78
Rift: Storm Legion,PC,Trion Worlds,Role-Playing,,T,13-Nov-12,79,77
Need for Speed: Most Wanted - A Criterion Game,PC,Criterion Games,Driving,,E10+,30-Oct-12,78,44
The Denpa Men: They Came By Wave,3DS,Genius Sonority Inc.,Role-Playing,1 Player,E,27-Sep-12,78,72
Baldur's Gate: Enhanced Edition,PC,Overhaul Games,Role-Playing,No Online Multiplayer,T,28-Nov-12,78,66
Transformers: Fall of Cybertron,PC,"High Moon Studios, Mercenary Technologies",Action,,T,20-Aug-12,78,78
Metal Gear Solid: Snake Eater 3D,3DS,Kojima Productions,Action Adventure,1 Player,M,21-Feb-12,78,79
MotorStorm RC,VITA,Evolution Studios,Driving,,E,6-Mar-12,78,68
Theatrhythm Final Fantasy,3DS,Indies Zero ,Action,,E10+,3-Jul-12,78,78
Fluidity: Spin Cycle,3DS,Curve Studios,Action,,E,27-Dec-12,78,66
Chaos on Deponia,PC,Daedalic Entertainment,Adventure,No Online Multiplayer,T,6-Nov-12,78,83
Tropico 4: Modern Times,PC,"Haemimont, Haemimont Games",Strategy,,T,29-Mar-12,78,76
Elemental: Fallen Enchantress,PC,Stardock,Strategy,,,23-Oct-12,78,73
Sonic & All-Stars Racing Transformed,WIIU,Sumo Digital,Driving,Up to 10 ,E10+,18-Nov-12,78,80
Disgaea 3: Absence of Detention,VITA,Nippon Ichi Software,Strategy,1 Player,T,17-Apr-12,78,76
New Super Mario Bros. 2,3DS,Nintendo,Action,No Online Multiplayer,E,19-Aug-12,78,73
Deadlight,PC,Tequila Works,Action,,M,25-Oct-12,78,74
Nintendo Land,WIIU,Nintendo,Miscellaneous,1月5日,E10+,18-Nov-12,77,79
Puddle,VITA,Neko Entertainment,Miscellaneous,1 Player,T,24-Jul-12,77,55
Giana Sisters: Twisted Dreams,PC,Black Forest Games,Action,,,22-Oct-12,77,77
Thomas Was Alone,PC,Mike Bithell,Action,No Online Multiplayer,,30-Jun-12,77,81
3D Classics: Kid Icarus,3DS,Arika,Action,,E,23-Mar-12,77,73
Quantum Conundrum,PC,Airtight Games,Miscellaneous,,E,21-Jun-12,77,73
Endless Space,PC,Amplitude Studios,Strategy,Online Multiplayer,T,4-Jul-12,77,73
Virtua Tennis 4: World Tour Edition,VITA,Sega,Sports,4  Online,E,15-Feb-12,77,79
Penny Arcade Adventures: Episode Three,PC,Zeboyd Games,Role-Playing,,,25-Jun-12,77,73
The Darkness II,PC,Digital Extremes,Action,1 Player,M,6-Feb-12,77,76
ZombiU,WIIU,Ubisoft Montpellier,General,1月4日,M,18-Nov-12,77,77
Plants vs. Zombies,VITA,PopCap,Strategy,1 Player,E10+,21-Feb-12,77,77
TERA,PC,Bluehole Studio,Role-Playing,Massively Multiplayer,M,1-May-12,77,69
Magic: The Gathering - Duels of the Planeswalkers 2013,PC,Stainless Games,Strategy,,T,20-Jun-12,77,69
Dokuro,VITA,Game Arts,Action,,E10+,16-Oct-12,76,79
Resonance,PC,xii games,Adventure,,,19-Jun-12,76,77
Ketzal's Corridors,3DS,Keys Factory,General,,E,12-Apr-12,76,76
Miasmata,PC,IonFX,Adventure,,,28-Nov-12,76,77
MLB 12: The Show,VITA,SCEA San Diego Studios,Sports,,E,6-Mar-12,76,78
Spec Ops: The Line,PC,Yager,Action,,M,25-Jun-12,76,82
Hot Shots Golf: World Invitational,VITA,Clap Hanz,Sports,,E,7-Feb-12,76,81
Ys Origin,PC,Falcom,Role-Playing,No Online Multiplayer,,31-May-12,76,84
Rhythm Thief & the Emperor's Treasure,3DS,Sega,Action,,E10+,10-Jul-12,76,80
Your Shape: Fitness Evolved 2013,WIIU,Blue Byte,Miscellaneous,,E10+,18-Nov-12,76,63
Crimson Shroud,3DS,Nex Entertainment,Role-Playing,,T,13-Dec-12,76,79
Prototype 2,PC,Radical Entertainment,Action Adventure,,M,24-Jul-12,76,64
Super Monday Night Combat,PC,Uber Entertainment,Action,,,19-Apr-12,76,37
Dear Esther,PC,The Chinese Room,Adventure,No Online Multiplayer,,14-Feb-12,75,65
Tiny & Big: Grandpa's Leftovers,PC,Black Pants,Adventure,,,19-Jun-12,75,74
Madden NFL 13,WIIU,EA Tiburon,Sim,1月5日,E,13-Nov-12,75,68
Edna & Harvey: Harvey's New Eyes,PC,Daedalic Entertainment,Adventure,,,16-Oct-12,75,78
Scribblenauts Unlimited,PC,5TH Cell,Puzzle,,E,19-Nov-12,75,77
Tales of the Abyss,3DS,Bandai Namco Games,Role-Playing,No Online Multiplayer,T,14-Feb-12,75,78
Paper Mario: Sticker Star,3DS,Intelligent Systems,Action Adventure,No Online Multiplayer,E,11-Nov-12,75,57
Kingdom Hearts 3D: Dream Drop Distance,3DS,Square Enix,Role-Playing,No Online Multiplayer,E10+,5-Jun-12,75,85
Hustle Kings,VITA,VooFoo Studios,Sports,,E,21-Feb-12,75,74
Blacklight: Retribution,PC,Zombie Studios,Action,,,3-Apr-12,75,75
Sonic & All-Stars Racing Transformed,VITA,Sumo Digital,Driving,Up to 8 ,E10+,18-Dec-12,75,78
PlayStation All-Stars Battle Royale,VITA,Bluepoint Games,Action,Up to 8 ,T,20-Nov-12,75,75
Iron Brigade,PC,Double Fine Productions,Action,,T,13-Aug-12,75,53
escapeVektor,3DS,Nnooo,Miscellaneous,,E,20-Dec-12,75,76
The Dark Eye: Chains of Satinav,PC,Daedalic Entertainment,Adventure,,,22-Jun-12,75,77
Warp,PC,Trapdoor,Action,,M,13-Mar-12,75,58
NightSky,3DS,Nicalis,Miscellaneous,1 Player,E,25-Oct-12,75,76
Mass Effect 3: Leviathan,PC,BioWare,Role-Playing,,M,28-Aug-12,75,68
Symphony,PC,Empty Clip Studios,Miscellaneous,,,6-Aug-12,75,77
Frobisher Says!,VITA,Honeyslug Ltd,Miscellaneous,,E10+,23-Oct-12,74,73
Harvest Moon 3D: A New Beginning,3DS,Marvelous AQL,Strategy,Up to 4 ,E,6-Nov-12,74,78
Deponia,PC,Daedalic Entertainment,Adventure,No Online Multiplayer,,6-Aug-12,74,82
The Sims 3 Supernatural,PC,The Sims Studio,Simulation,,T,4-Sep-12,74,63
King's Bounty: Warriors of the North,PC,"Katauri Interactive, Katuri Interactive",Strategy,No Online Multiplayer,,25-Oct-12,74,71
Incredipede,PC,Northway Games,Miscellaneous,1 Player,,25-Oct-12,74,69
Unmechanical,PC,"Teotl Studios, Talawa Games",Action,No Online Multiplayer,,8-Aug-12,74,78
Snapshot,PC,Retro Affect,Action,,E,30-Aug-12,74,73
The Secret World,PC,Funcom,Role-Playing,Online Multiplayer,M,3-Jul-12,74,83
TRI,PC,Rat King Entertainment,General,,,8-Jul-12,74,75
Sakura Samurai: Art of the Sword,3DS,Grounding Inc.,Action,1 Player,T,2-Feb-12,74,73
Call of Duty: Black Ops II,PC,Treyarch,Action,,M,12-Nov-12,74,44
Marvel Pinball 3D,3DS,Zen Studios,Action,,E10+,28-Jun-12,74,77
Drox Operative,PC,Soldak Entertainment,Action,,,29-Nov-12,74,76
They Bleed Pixels,PC,Spooky Squid Games,Action,,,29-Aug-12,74,75
The Testament of Sherlock Holmes,PC,Frogwares,Adventure,No Online Multiplayer,M,25-Sep-12,73,79
When Vikings Attack!,VITA,Clever Beans,Action,,E10+,6-Nov-12,73,69
Ys: The Oath in Felghana,PC,Falcom,Role-Playing,,,19-Mar-12,73,78
Alan Wake's American Nightmare,PC,Remedy Entertainment,Action Adventure,,T,22-May-12,73,66
Driftmoon,PC,Instant Kingdom,Role-Playing,,,2-Oct-12,73,75
Scribblenauts Unlimited,WIIU,5TH Cell,Puzzle,1月4日,E10+,13-Nov-12,73,75
The Book of Unwritten Tales: Critter Chronicles,PC,KING Art,Adventure,,T,5-Dec-12,73,68
Battlefield 3: Close Quarters,PC,EA DICE,Action,,M,26-Jun-12,73,69
Pro Evolution Soccer 2012 3D,3DS,Konami,Sports,,E,1-Feb-12,73,76
The Sims 3 Seasons,PC,The Sims Studio,Simulation,,T,13-Nov-12,73,75
HAWKEN,PC,"Adhesive Games, Reloaded Games",Action,,T,12-Dec-12,73,77
Worms Revolution,PC,Team 17,Strategy,,E10+,10-Oct-12,73,67
Unstoppable Gorg,PC,Futuremark Games Studio,Strategy,,E10+,19-Jan-12,73,67
Scribblenauts Unlimited,3DS,5TH Cell,Puzzle,1 Player,E10+,13-Nov-12,73,77
War of the Roses,PC,Fatshark AB,Action,,,2-Oct-12,73,58
Order Up!!,3DS,SuperVillain Studios,Action,,E,21-Jun-12,72,65
Ridge Racer Unbounded,PC,Bugbear,Driving,,T,29-Mar-12,72,62
The Journey Down: Chapter One,PC,SkyGoblin,Adventure,No Online Multiplayer,,18-May-12,72,75
Cognition: An Erica Reed Thriller Episode 1 - The Hangman,PC,Phoenix Online Studios,Adventure,,,30-Oct-12,72,68
Underrail,PC,Stygian Software,General,No Online Multiplayer,,5-Dec-12,72,76
A New Beginning: Final Cut,PC,Daedalic Entertainment,Adventure,,,11-Dec-12,72,68
DiRT Showdown,PC,Codemasters,Driving,,E10+,23-May-12,72,57
Primordia,PC,Wormwood Studios,General,,,5-Dec-12,72,88
Gateways,PC,Smudged Cat Games,Action,,,12-Sep-12,72,77
Ninja Gaiden Sigma Plus,VITA,Team Ninja,Action Adventure,1 Player,M,21-Feb-12,72,72
Smart as...,VITA,XDEV,Miscellaneous,,E,23-Oct-12,72,72
Shank 2,PC,Klei Entertainment,Action,,M,7-Feb-12,72,64
Rayman Origins,3DS,UBlart Montpellier,Action,,E10+,6-Nov-12,71,63
Big Sky: Infinity,VITA,"VooFoo Studios, Boss Baddie",Action,,E,11-Dec-12,71,52
Retro City Rampage,PC,Vblank Entertainment Inc.,Action Adventure,,T,9-Oct-12,71,77
Street Fighter X Mega Man,PC,Capcom,Action,,,17-Dec-12,71,77
Tom Clancy's Ghost Recon: Future Soldier,PC,Ubisoft Paris,Action,,M,26-Jun-12,71,51
Unit 13,VITA,Zipper Interactive,Action,,T,6-Mar-12,71,71
Nano Assault Neo,WIIU,Shin'en,Action,,E,18-Nov-12,71,74
Escape Plan,VITA,Fun Bits,Miscellaneous,,T,14-Feb-12,71,73
Warlock: Master of the Arcane,PC,Ino-Co,Strategy,,E10+,8-May-12,71,79
CRUSH3D,3DS,Zoe Mode,Action,,E10+,6-Mar-12,71,74
Fractured Soul,3DS,Endgame Studios,Action,,E10+,13-Sep-12,70,73
Assassin's Creed III: Liberation,VITA,Ubisoft,Action Adventure,Up to 64 ,M,30-Oct-12,70,72
New Little King's Story,VITA,Konami,Strategy,,E10+,2-Oct-12,70,78
Aero Porter,3DS,Vivarium,Simulation,,E,29-Nov-12,70,74
Tom Clancy's Ghost Recon Phantoms,PC,Ubisoft Singapore,Action,,,15-Aug-12,70,65
Mario Tennis Open,3DS,Camelot Software Planning,Sports,Up to 4 ,E,20-May-12,69,69
Gratuitous Tank Battles,PC,Positech Games,Strategy,No Online Multiplayer,,17-May-12,69,67
Ninja Gaiden 3: Razor's Edge,WIIU,Team Ninja,Action,1 Player,M,18-Nov-12,69,75
Risen 2: Dark Waters,PC,Piranha Bytes,General,No Online Multiplayer,M,24-Apr-12,69,57
Of Orcs and Men,PC,"Cyanide, Spiders",Role-Playing,No Online Multiplayer,RP,11-Oct-12,69,67
FIFA Soccer 13,WIIU,Electronic Arts,Sim,1月5日,E,13-Nov-12,69,63
Heroes of Ruin,3DS,n-Space,Action,Up to 4 ,T,17-Jul-12,69,73
Touch My Katamari,VITA,Bandai Namco Games,Action,,E10+,21-Feb-12,69,75
Megabyte Punch,PC,Reptile,Adventure,No Online Multiplayer,,14-May-12,69,74
Syndicate (2012),PC,Starbreeze,Action,,M,21-Feb-12,69,59
Liberation Maiden,3DS,Grasshopper Manufacture,General,1 Player,T,25-Oct-12,69,78
Home,PC,Benjamin Rivers,Action Adventure,No Online Multiplayer,,1-Jun-12,69,60
Shad'O,PC,Okugi Studio,Strategy,,,4-Sep-12,68,66
FIFA Manager 13,PC,EA Sports,Sports,,E,25-Oct-12,68,47
Alien Breed (PS Mobile),VITA,Team 17,Action,,E10+,14-Nov-12,68,58
Hatoful Boyfriend,PC,Hato Moa,General,No Online Multiplayer,,15-Feb-12,68,73
Binary Domain,PC,Devils Details,Action,,M,27-Apr-12,68,77
Pro Cycling Manager Season 2012: Le Tour de France,PC,Cyanide,Sports,,,22-Jun-12,68,73
Little Inferno,PC,Tomorrow Corporation,Miscellaneous,No Online Multiplayer,,19-Nov-12,68,75
Primal Carnage,PC,Lukewarm Media,Action,Online Multiplayer,,29-Oct-12,67,76
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,3DS,WayForward,Miscellaneous,,E10+,13-Nov-12,67,72
Dynasty Warriors Next,VITA,"Koei, Omega Force",Action,1月4日,T,21-Feb-12,67,75
Code of Princess,3DS,Studio Saizensen,Role-Playing,Up to 4 ,T,9-Oct-12,67,74
Uncharted: Fight for Fortune,VITA,Sony Bend,Strategy,,T,4-Dec-12,67,59
Secret Files 3,PC,Animation Arts,Adventure,1 Player,,13-Sep-12,67,62
The Sims 3: Showtime,PC,The Sims Studio,Simulation,,T,6-Mar-12,67,53
I Am Alive,PC,Ubisoft Shanghai,Action Adventure,,M,6-Sep-12,66,60
Just Dance 4,WIIU,Ubisoft Paris,Action,,E10+,18-Nov-12,66,78
Colour Bind,PC,Puppy Punch Productions,Miscellaneous,No Online Multiplayer,,24-Sep-12,66,70
Ragnarok Odyssey,VITA,Game Arts,Role-Playing,,T,30-Oct-12,66,78
The Elder Scrolls V: Skyrim - Dawnguard,PC,Bethesda Game Studios,Role-Playing,1 Player,M,2-Aug-12,66,69
Mario & Sonic at the London 2012 Olympic Games,3DS,"Sega, Sega Sports R&D",Sports,,E,14-Feb-12,66,63
King Arthur II: The Role-Playing Wargame,PC,NeocoreGames,Role-Playing,,T,27-Jan-12,66,66
Sniper Elite V2,PC,Rebellion,Action,,M,30-Apr-12,66,67
Super Monkey Ball: Banana Splitz,VITA,Marvelous AQL,Miscellaneous,1月4日,E,23-Oct-12,66,76
F1 2011,VITA,Codemasters,Driving,,E,15-Feb-12,66,65
Forge,PC,Dark Vale Games,Action,,T,4-Dec-12,65,76
Yesterday,PC,Pendulo Studios,Adventure,,,22-Mar-12,65,69
Dillon's Rolling Western,3DS,Vanpool,Action,1 Player,E10+,22-Feb-12,65,75
Choplifter HD,PC,InXile Entertainment,Action,,T,11-Jan-12,65,66
Gotham City Impostors,PC,Monolith Productions,Action,,T,7-Feb-12,65,66
Farming Simulator 2013,PC,Giants Software,Miscellaneous,,E,25-Oct-12,65,75
A Virus Named TOM,PC,Misfits Attic,Miscellaneous,No Online Multiplayer,,1-Aug-12,65,63
Naval War: Arctic Circle,PC,Turbo Tape Games,Strategy,Online Multiplayer,RP,10-Apr-12,64,58
Ravaged,PC,2 Dawn Games,Action,,M,17-Oct-12,64,56
Microsoft Flight,PC,Microsoft Game Studios,Simulation,,E,29-Feb-12,64,36
Tekken 3D Prime Edition,3DS,Arika,Action,,T,14-Feb-12,64,60
Painkiller: Hell & Damnation,PC,The Farm 51,Action,,M,31-Oct-12,64,66
LEGO Harry Potter: Years 5-7,VITA,Traveller's Tales,Action Adventure,,E10+,6-Mar-12,64,69
Warriors Orochi 3 Hyper,WIIU,Omega Force,Action,1月2日,T,18-Nov-12,64,74
Guns of Icarus Online,PC,Muse Games,Action,,,29-Oct-12,64,78
UEFA Euro 2012,PC,EA Canada,Sports,,E,24-Apr-12,64,29
Chasing Aurora,WIIU,Broken Rules,Action,1月5日,E,18-Nov-12,64,68
Hell Yeah! Wrath of the Dead Rabbit,PC,Arkedo Studio,Action,,T,3-Oct-12,64,73
Disney Epic Mickey: The Power of Illusion,3DS,DreamRift,Action,1 Player,E,18-Nov-12,63,59
Pid,PC,Might and Delight,Action,No Online Multiplayer,E10+,31-Oct-12,63,77
Cargo Commander,PC,Serious Brew,Action,,T,1-Nov-12,63,69
"Freakyforms Deluxe: Your Creations, Alive!",3DS,"Asobism, Co. ltd.",Miscellaneous,1月4日,E,5-Nov-12,63,73
Galaxy On Fire 2 Full HD,PC,Fishlabs,Simulation,1 Player,,21-Aug-12,63,66
Jagged Alliance: Crossfire,PC,Kalypso,Strategy,,T,24-Aug-12,63,43
ModNation Racers: Road Trip,VITA,SCEA,Driving,,E,7-Feb-12,62,64
Angry Birds Trilogy,3DS,Exient Entertainment,Action,,E,25-Sep-12,62,46
LEGO Batman 2: DC Super Heroes,VITA,TT Games,Action Adventure,,E10+,19-Jun-12,62,67
Orgarhythm,VITA,Acquire,Action,,E10+,23-Oct-12,62,68
Pineapple Smash Crew,PC,RichMakeGame,Action,,,2-Feb-12,62,75
Death Rally (2012),PC,Remedy Entertainment,Driving,,T,3-Aug-12,62,56
F1 Race Stars,PC,Codemasters,Formula One,,E,13-Nov-12,62,55
Jagged Alliance: Back in Action,PC,Kalypso,Strategy,,M,8-Feb-12,62,55
Fun! Fun! Minigolf TOUCH!,3DS,Shin'en,Sports,1月4日,E,8-Mar-12,61,77
Mutant Mudds,PC,Renegade Kid,Action,,,30-Aug-12,61,50
StarDrone Extreme,VITA,Beatshapers,Action,,E,22-Feb-12,61,40
A Game of Dwarves,PC,Zeal Game Studios,Strategy,No Online Multiplayer,,23-Oct-12,60,66
SiNG Party,WIIU,FreeStyleGames,Action,1月5日,E10+,18-Nov-12,60,54
Resistance: Burning Skies,VITA,Nihilistic,Action,,M,29-May-12,60,69
Carrier Command: Gaea Mission,PC,Bohemia Interactive,Adventure,,M,28-Sep-12,60,56
Doom 3 BFG Edition,PC,id Software,Action,,,15-Oct-12,59,54
Pokedex 3D Pro,3DS,Creatures Inc.,Miscellaneous,,E,8-Nov-12,59,48
Skylanders Giants,3DS,n-Space,Action,,E10+,21-Oct-12,59,46
Lucius,PC,Shiver Games,Action Adventure,,,26-Oct-12,59,61
Gas Guzzlers: Combat Carnage,PC,Gamepires,Driving,Online Multiplayer,T,18-May-12,58,75
Silent Hill: Book of Memories,VITA,WayForward,Action Adventure,Up to 4 ,M,16-Oct-12,58,51
Defenders of Ardania,PC,Most Wanted Entertainment,Strategy,4  Online,T,14-Mar-12,58,46
Game of Thrones,PC,"Cyanide, Cyanide Studios",Role-Playing,No Online Multiplayer,M,15-May-12,58,65
SOL: Exodus,PC,"Seamless Entertainment, Inc.",Action,,,25-Jan-12,57,69
Disney Epic Mickey 2: The Power of Two,WIIU,"Heavy Iron Studios, Junction Point",Action,1月2日,E,18-Nov-12,57,56
Michael Jackson The Experience HD,VITA,Ubisoft,Action,,E10+,15-Feb-12,57,60
FIFA Soccer 13,VITA,Electronic Arts,Sports,,E,25-Sep-12,57,42
Sumioni: Demon Arts,VITA,Acquire,Role-Playing,,E10+,20-Mar-12,57,58
Army Corps of Hell,VITA,"Entersphere, Inc.",Strategy,,M,21-Feb-12,57,66
Men of War: Condemned Heroes,PC,1C-Softclub,Strategy,,,12-Apr-12,57,64
Tiny Troopers,PC,"Iceberg Interactive, Kukouri Mobile Entertainment",Action,,,24-Aug-12,57,57
Little Deviants,VITA,Bigbig Studios,Action,,E10+,15-Feb-12,57,55
Da New Guys: Day of the Jackass,PC,Wadjet Eye Games,Adventure,,,29-Feb-12,56,68
Transformers Prime: The Game,WIIU,Now Production,Action,,E10+,18-Nov-12,56,52
Table Top Tanks,VITA,Devils Details,Miscellaneous,,E,22-May-12,56,53
The Amazing Spider-Man,3DS,Beenox,General,,T,26-Jun-12,55,53
Shifting World,3DS,Fishing Cactus,Miscellaneous,,E,24-Apr-12,55,67
Anna,PC,Dreampainters,Adventure,,,11-Jul-12,55,51
Shinobido 2: Revenge of Zen,VITA,Acquire,Action Adventure,,M,21-Feb-12,55,66
Iron Front: Liberation 1944,PC,X1 Software,Strategy,,T,25-May-12,55,67
